Category,Product,Quantity,Unit,Source,Notes
INDOOR LOOSE FLOWER,NFS,87,grams,Handwritten,
INDOOR LOOSE FLOWER,Gelato,95,grams,Handwritten,
INDOOR LOOSE FLOWER,Bakers,144,grams,Handwritten,
INDOOR LOOSE FLOWER,Pineapple Chunk,97,grams,Handwritten,
INDOOR LOOSE FLOWER,LA Candy,99,grams,Handwritten,
INDOOR LOOSE FLOWER,Rainbow Royal,21,grams,Handwritten,
INDOOR LOOSE FLOWER,Frozen Peach,86,grams,Handwritten,
INDOOR LOOSE FLOWER,Ice Cream Cake,75,grams,Handwritten,
INDOOR LOOSE FLOWER,Blackberry,114,grams,Handwritten,
INDOOR LOOSE FLOWER,Cereal Milk,72,grams,Handwritten,
INDOOR LOOSE FLOWER,Rainbow Sherbet,61,grams,Handwritten,
INDOOR LOOSE FLOWER,Ice Queen,85,grams,Handwritten,
INDOOR LOOSE FLOWER,Monster Zkittles,40,grams,Handwritten,
INDOOR LOOSE FLOWER,Blu Zuchi,74,grams,Handwritten,
INDOOR LOOSE FLOWER,Blu Rave,90,grams,Handwritten,
INDOOR LOOSE FLOWER,Face on Fire,54,grams,Handwritten,
INDOOR LOOSE FLOWER,Pitbull,40,grams,Handwritten,
INDOOR LOOSE FLOWER,King Truck,51,grams,Handwritten,
GREENDOOR LOOSE FLOWER,Durban Sky,120,grams,Handwritten,
GREENDOOR LOOSE FLOWER,Gorilla Zkittlez,71,grams,Handwritten,
GREENDOOR LOOSE FLOWER,Super Cheese,216.09,grams,Handwritten,-3g tare from 219.09
GREENDOOR LOOSE FLOWER,Garry Peyton,123.98,grams,Handwritten,
GREENDOOR LOOSE FLOWER,Beach Wedding,53.05,grams,Handwritten,
GREENDOOR LOOSE FLOWER,Allien Cookies,153.38,grams,Handwritten,
GREENDOOR LOOSE FLOWER,Jungle Diamond,157.93,grams,Handwritten,
GREENDOOR LOOSE FLOWER,Diver Storm,90.89,grams,Handwritten,
GREENDOOR LOOSE FLOWER,Cheese,91.63,grams,Handwritten,
GREENDOOR LOOSE FLOWER,Black Cherry Punch,164.84,grams,Handwritten,
INDOOR PRE-ROLLS,Watermelon Runtz Pre-Roll,3,units,Chat,
INDOOR PRE-ROLLS,The Church Pre-Rolls,3,units,Chat,
INDOOR PRE-ROLLS,Gold Leaf Pre-Roll,7,units,Chat,
INDOOR PRE-ROLLS,Moon Stick (I.D),3,units,Chat,
INDOOR PRE-ROLLS,Honey Moon Pre-Roll,21,units,Chat,
INDOOR PRE-ROLLS,Honey-comb Pre-Roll,9,units,Chat,
INDOOR PRE-ROLLS,Apple Jax Pre-Roll,2,units,Chat,
INDOOR PRE-ROLLS,Premium Blend Pre-Roll,6,units,Chat,
INDOOR PRE-ROLLS,MJ Roll,172,units,Chat,Restocked from 45 on 30 Jan
JUST BLAZE,JB Tropical Pineapple,17,units,Photo,approx
JUST BLAZE,JB California Black Rose,12,units,Photo,approx
JUST BLAZE,JB Blue Cheese,10,units,Photo,approx
JUST BLAZE,JB Green Cream,10,units,Photo,
JUST BLAZE,JB Block Berry,5,units,Photo,
JUST BLAZE,JB Petal Puffs,4,units,Photo,
JUST BLAZE,JB Haunted Harvest,3,units,Photo,
JUST BLAZE,JB Happy Holidays,3,units,Photo,
JUST BLAZE,JB Purple Rush,4,units,Photo,
JUST BLAZE,JB Charlottes Web,4,units,Photo,
JUST BLAZE,JB Wednesday Adams,,units,,NOT PHOTOGRAPHED - was 21 on 30 Jan
JUST BLAZE,JB Sour Diesel,2,units,Photo,
JUST BLAZE,JB Drips,,units,,NOT PHOTOGRAPHED - was 7 on 30 Jan
JUST BLAZE,JB Santas Stash,,units,,NOT PHOTOGRAPHED - was 4 on 30 Jan
JUST BLAZE,JB Cloud Muffin,,units,,NOT PHOTOGRAPHED - was 4 on 30 Jan
JUST BLAZE,JB Sugar High,,units,,NOT PHOTOGRAPHED - was 3 on 30 Jan
JUST BLAZE,JB Blaze Royale,,units,,NOT PHOTOGRAPHED - was 2 on 30 Jan
JUST BLAZE,JB Frosted Apricot,,units,,NOT PHOTOGRAPHED - was 2 on 30 Jan
JUST BLAZE,JB Blue Dream,,units,,NOT PHOTOGRAPHED - was 1 on 30 Jan
JUST BLAZE,JB Darth Vader,,units,,NOT PHOTOGRAPHED - was 1 on 30 Jan
JUST BLAZE,JB Jedi Diesel,,units,,NOT PHOTOGRAPHED - was 1 on 30 Jan
ACCESSORIES,DOT Torch Lighters,50,units,Photo,box of lighters
GREENDOOR PRE-ROLLS,Moon Stick (G.D),40,units,Chat,
GREENDOOR PRE-ROLLS,Gold Roll (G.D),50,units,Chat,
GREENDOOR PRE-ROLLS,Joynt Pre-Roll (G.D),10,units,Chat,
PRE-PACKS,Dynamic Threesome (3g),49,units,Chat,
PRE-PACKS,Super Cheese (5g) I.D,3,units,Chat,
PRE-PACKS,White Runtz (5g) G.D,4,units,Chat,
PRE-PACKS,Banana Cake (5g) I.D,3,units,Chat,
PRE-PACKS,Candy Dave (5g) I.D,4,units,Chat,
PRE-PACKS,Blueberry (5g) I.D,5,units,Chat,
PRE-PACKS,JMO (5g) I.D,2,units,Chat,
EDIBLES,Synergy Medibles Waves,2,units,Chat,
EDIBLES,Medibles Pastilles,5,units,Chat,
EDIBLES,Magic Mushroom,5,units,Chat,
EDIBLES,Dope Rope 400mg,3,units,Chat + Photo,
EDIBLES,Butterscotch Toffee,6,units,Chat,
EDIBLES,Fab Fudge 150mg,4,units,Chat,
EDIBLES,Suckers (Rainbow Lollipops),18,units,Photo,approx count
EDIBLES,Medibles Singles,35,units,Photo,approx - confirm if 2 batches or 1
EDIBLES,Bhang Bars 2g,2,units,Photo,Strawberry Cough + London Pound Cake
LIFTED EDIBLES,Lifted Gummy Bears 250mg,10,units,Photo,
LIFTED EDIBLES,Lifted The OG Gummies,23,units,Photo,
LIFTED EDIBLES,Lifted Wacky Worms,7,units,Photo,
LIFTED EDIBLES,Lifted Buzz Pops 120mg,3,units,Photo,
LIFTED EDIBLES,Lifted Loaded Leaf Gummies 200mg,4,units,Photo,
LIFTED EDIBLES,Lifted Heart Stoppers 200mg,5,units,Photo,sugar free
LIFTED EDIBLES,Lifted Rainbow Stripz 200mg,7,units,Photo,
LIFTED EDIBLES,Lifted Red Vine Stripz 200mg,7,units,Photo,
LIFTED EDIBLES,Lifted Blaze Block Gummies 150mg,3,units,Photo,
LIFTED EDIBLES,Lifted Fruity CBD Gummies 250mg,4,units,Photo,
LIFTED EDIBLES,Lifted Fruity Pastilles 150mg,2,units,Photo,
LIFTED EDIBLES,Lifted Choc Chip Cookies 90mg,4,units,Photo,
LIFTED EDIBLES,Lifted ? (red/cream packs),11,units,Photo,NEEDS ID - WhatsApp 27(3)
LIFTED EDIBLES,Lifted ? (purple/blue display),9,units,Photo,NEEDS ID - WhatsApp 27(6)
LIFTED EDIBLES,Lifted ? (green/red packs),11,units,Photo,NEEDS ID - WhatsApp 28(3)
LIFTED EDIBLES,Lifted ? (red shelf display),8,units,Photo,NEEDS ID - WhatsApp 28(4)
CBD,Hashisha,5,units,Chat,
CBD,CBD Arouse,3,units,Chat,
CBD,CBD Erect,1,units,Chat,
CBD,CBD Bunny Men,4,units,Chat,
CBD,CBD Super Bunny Woman,4,units,Chat,
CBD,MJ Cream,5,units,Chat,
CBD,Hairfood 250ml,4,units,Chat,
CBD,Hairfood 125ml,7,units,Chat,
DRINKS,Coder Fruit Juice,4,units,Chat,
DRINKS,Sodaze,1,units,Chat,
DRINKS,Lucky Club Juice,0,units,Chat,
DRINKS,420 Magic 500mg,18,units,Chat,
DRINKS,Dope Watermelon,2,units,Chat,
DRINKS,Dope Pineapple,1,units,Chat,
DRINKS,Dope Grapefruit,5,units,Chat,
DABS,Bud-Crum Combo,6,units,Chat,
DABS,Budder,6,units,Chat,
DABS,Crumble,8,units,Chat,
DABS,Wax Dab,2,units,Chat,
VAPES,Cartridge Plug,23,units,Photo,approx count from laid out photo
VAPES,Safari Smoke Cartridges 0.5ml,3,units,Photo,
BATTERIES,CCELL Sandwave Battery,3,units,Photo,= Cell Batteries from chat
BATTERIES,Cart Batteries (bagged),2,units,Photo,= Other Batteries from chat
PRE-ROLLS (OTHER),1500mg Pre-Roll Tubes,3,units,Photo,Zkittlez + Blueberry Kush + 1
PRE-ROLLS (OTHER),1g Pre-Rolls (tray),7,units,Photo,brand/strain unknown
