Category,Product,Photo Count,Unit,Source File,Notes
Lifted Edibles,Lifted Gummy Bears 250mg,10,units,lifted - gummybears.jpeg,
Lifted Edibles,Lifted The OG Gummies,23,units,lifted - the OG gummies.jpeg,
Lifted Edibles,Lifted Wacky Worms,7,units,lifted - wacky worms.jpeg,
Lifted Edibles,Lifted Buzz Pops 120mg,3,units,lifted - BuzzPOPS.jpeg,
Lifted Edibles,Lifted Loaded Leaf Gummies 200mg,4,units,Lifted - Loaded leaf.jpeg,
Lifted Edibles,Lifted Heart Stoppers 200mg,5,units,Lifted-HeartStoppers.jpeg,sugar free
Lifted Edibles,Lifted Rainbow Stripz 200mg,7,units,edibkles-rainbowstrips.jpeg,
Lifted Edibles,Lifted Red Vine Stripz 200mg,7,units,dibles-redvinestrips.jpeg,
Lifted Edibles,Lifted Blaze Block Gummies 150mg,3,units,edibkles-blazebox-Gummies.jpeg,
Lifted Edibles,Lifted Fruity CBD Gummies 250mg,4,units,edibkes-fruitycbd gummies.jpeg,
Lifted Edibles,Lifted Fruity Pastilles 150mg,2,units,edibles-fruit pastiles-1.jpeg,
Lifted Edibles,Lifted Choc Chip Cookies 90mg,4,units,ChockChip 90.jpeg,
Edibles,Suckers (Rainbow Lollipops),18,units,Edibles-Suckers-3.jpeg,approx count
Edibles,Dope Rope 400mg,3,units,doperope.jpeg,
Edibles,Medibles Singles (batch 1),35,units,edibles-sinbgles-1.jpeg,approx - confirm if same as batch 2
Edibles,Medibles Singles (batch 2),35,units,edibles-sibngles-2.jpeg,approx - confirm if same as batch 1
Edibles,Bhang Bars 2g,2,units,bangbars.jpeg,Strawberry Cough + London Pound Cake
Vapes,Cartridge Plug,23,units,Cartritidges-Plug.jpeg,approx count
Vapes,Safari Smoke Cartridges 0.5ml,3,units,safarismoke cartridges.jpeg,
Batteries,CCELL Sandwave Battery,3,units,ccellbattery.jpeg,
Batteries,Cart Batteries (bagged),2,units,cart-batteries.jpeg,
Pre-Rolls,1500mg Pre-Roll Tubes,3,units,1500mgprerolls.jpeg,Zkittlez + Blueberry Kush + 1 more
Pre-Rolls,1g Pre-Rolls (in tray),7,units,prerolls-1gr.jpeg,brand/strain unknown
UNKNOWN,Lifted ? (red/cream packs on counter),11,units,WhatsApp...27 (3).jpeg,NEEDS ID
UNKNOWN,Lifted ? (purple/blue vertical display),9,units,WhatsApp...27 (6).jpeg,NEEDS ID
UNKNOWN,Lifted ? (green/red packs on counter),11,units,WhatsApp...28 (3).jpeg,NEEDS ID
UNKNOWN,Lifted ? (red packs shelf display),8,units,WhatsApp...28 (4).jpeg,NEEDS ID
