Category,Product,POS Code,30 Jan Count,12 Feb Count,Unit,Change,Status,Flag
INDOOR LOOSE FLOWER,Bakers,644,157.26,144,grams,-13.26,SOLD,
INDOOR LOOSE FLOWER,Rainbow Royale / Rainbow Royal,682,37.9,21,grams,-16.9,SOLD,
INDOOR LOOSE FLOWER,Frozen Peach,708,96.52,86,grams,-10.52,SOLD,
INDOOR LOOSE FLOWER,Ice Cream Cake,1002,106.57,75,grams,-31.57,SOLD,
INDOOR LOOSE FLOWER,Rainbow Sherbet / Sherbit,681,67,61,grams,-6,SOLD,
INDOOR LOOSE FLOWER,Ice Queen,711,99,85,grams,-14,SOLD,
INDOOR LOOSE FLOWER,Monster Zkittles,646,50,40,grams,-10,SOLD,
INDOOR LOOSE FLOWER,Blue Zucci / Blu Zuchi,663,93,74,grams,-19,SOLD,
INDOOR LOOSE FLOWER,Face On Fire,710,83.2,54,grams,-29.2,SOLD,
INDOOR LOOSE FLOWER,Pitbull,86,111.39,40,grams,-71.39,SOLD,HIGH SELLER
INDOOR LOOSE FLOWER,Kings Truck / King Truck,687,107.8,51,grams,-56.8,SOLD,HIGH SELLER
INDOOR LOOSE FLOWER,Blue Pava,709,92.8,,grams,,NOT COUNTED,Maybe = Blu Rave?
INDOOR LOOSE FLOWER,K-Snow,720,184.36,,grams,,NOT COUNTED,MISSING - had 184g
INDOOR LOOSE FLOWER,PINK RUNTZ,683,116.2,,grams,,NOT COUNTED,MISSING - had 116g
INDOOR LOOSE FLOWER,PURPLE PEANUT BUTTER,572,55.7,,grams,,NOT COUNTED,MISSING - had 55g
INDOOR LOOSE FLOWER,Strawberry Lemonade (SPECIAL),972,279.58,,grams,,NOT COUNTED,MISSING - had 279g
INDOOR LOOSE FLOWER,Zoap,719,150,,grams,,NOT COUNTED,MISSING - had 150g
INDOOR LOOSE FLOWER,Don Perinon,672,37.51,,grams,,NOT COUNTED,MISSING - had 37g
INDOOR LOOSE FLOWER,Block Berry (loose),357,87.26,,grams,,NOT COUNTED,MISSING - had 87g
INDOOR LOOSE FLOWER,Candy Cartel,594,13,,units,,NOT COUNTED,MISSING
INDOOR LOOSE FLOWER,NFS,,,87,grams,,NEW IN 12 FEB,Not in 30 Jan POS
INDOOR LOOSE FLOWER,Gelato (loose),,,95,grams,,NEW IN 12 FEB,Not in 30 Jan POS
INDOOR LOOSE FLOWER,Pineapple Chunk,,,97,grams,,NEW IN 12 FEB,Not in 30 Jan POS
INDOOR LOOSE FLOWER,LA Candy,,,99,grams,,NEW IN 12 FEB,Not in 30 Jan POS
INDOOR LOOSE FLOWER,Blackberry,,,114,grams,,NEW IN 12 FEB,Not in 30 Jan POS
INDOOR LOOSE FLOWER,Cereal Milk,,,72,grams,,NEW IN 12 FEB,Not in 30 Jan POS
INDOOR LOOSE FLOWER,Blu Rave,,,90,grams,,NEW IN 12 FEB,Or renamed Blue Pava?
GREENDOOR LOOSE FLOWER,Durban Sky,429,16,120,grams,+104,RESTOCKED,Massively restocked
GREENDOOR LOOSE FLOWER,Gorilla Zkittlez,684,125.55,71,grams,-54.55,SOLD,HIGH SELLER
GREENDOOR LOOSE FLOWER,Super Cheese,775,67.19,216.09,grams,+148.9,RESTOCKED,Massively restocked
GREENDOOR LOOSE FLOWER,Gary Payton / Garry Peyton,315,255,123.98,grams,-131.02,SOLD,HIGH SELLER
GREENDOOR LOOSE FLOWER,Beach Wedding,680,199.87,53.05,grams,-146.82,SOLD,HIGH SELLER
GREENDOOR LOOSE FLOWER,Allien Cookies / Alien Cookie,7,103.36,153.38,grams,+50.02,RESTOCKED,
GREENDOOR LOOSE FLOWER,Jungle Diamond,611,253.18,157.93,grams,-95.25,SOLD,HIGH SELLER
GREENDOOR LOOSE FLOWER,Divine Storm / Diver Storm,870,100.32,90.89,grams,-9.43,SOLD,
GREENDOOR LOOSE FLOWER,Cheese,655,114.98,91.63,grams,-23.35,SOLD,
GREENDOOR LOOSE FLOWER,Black Cherry Punch,318,178.79,164.84,grams,-13.95,SOLD,
INDOOR PRE-ROLLS,Apple Jax Pre-Roll,55,6,2,units,-4,SOLD,
INDOOR PRE-ROLLS,Gold Leaf Pre-Roll,495,9,7,units,-2,SOLD,
INDOOR PRE-ROLLS,Honey Moon Pre-Roll,198,23,21,units,-2,SOLD,
INDOOR PRE-ROLLS,Honey-comb Pre-Roll,81,68,9,units,-59,SOLD,HIGH SELLER or shrinkage?
INDOOR PRE-ROLLS,Moon Stick (I.D),85,75,3,units,-72,SOLD,HIGH SELLER or shrinkage?
INDOOR PRE-ROLLS,Premium Blend Pre-Roll,53,11,6,units,-5,SOLD,
INDOOR PRE-ROLLS,The Church Pre-Rolls,694,8,3,units,-5,SOLD,
INDOOR PRE-ROLLS,Watermelon Runtz Pre-Roll,695,5,3,units,-2,SOLD,
INDOOR PRE-ROLLS,MJ Roll,71,45,172,units,+127,RESTOCKED,MJ Roll only - NOT Just Blaze
GREENDOOR PRE-ROLLS,Moon Stick (G.D),966,82,40,units,-42,SOLD,HIGH SELLER
GREENDOOR PRE-ROLLS,Gold Roll (G.D),83,299,50,units,-249,SOLD,MASSIVE drop - verify!
GREENDOOR PRE-ROLLS,Joynt Pre-Roll (G.D),,,10,units,,NEW PRODUCT,Not in 30 Jan POS
JUST BLAZE,JB Tropical Pineapple,689,33,17,units,-16,SOLD,
JUST BLAZE,JB California Black Rose,688,22,12,units,-10,SOLD,
JUST BLAZE,JB Blue Cheese,671,27,10,units,-17,SOLD,
JUST BLAZE,JB Green Cream,692,21,10,units,-11,SOLD,
JUST BLAZE,JB Block Berry,691,12,5,units,-7,SOLD,
JUST BLAZE,JB Petal Puffs,578,4,4,units,0,NO CHANGE,
JUST BLAZE,JB Haunted Harvest,645,3,3,units,0,NO CHANGE,
JUST BLAZE,JB Happy Holidays,718,27,3,units,-24,SOLD,HIGH SELLER
JUST BLAZE,JB Purple Rush,664,10,4,units,-6,SOLD,
JUST BLAZE,JB Charlottes Web,676,2,4,units,+2,RESTOCKED,
JUST BLAZE,JB Sour Diesel,693,15,2,units,-13,SOLD,HIGH SELLER
JUST BLAZE,JB Wednesday Adams,451,21,,units,,NOT PHOTOGRAPHED,Was 21 on 30 Jan
JUST BLAZE,JB Drips,852,7,,units,,NOT PHOTOGRAPHED,Was 7 on 30 Jan
JUST BLAZE,JB Santas Stash,717,14,,units,,NOT PHOTOGRAPHED,Was 4 SOH on 30 Jan
JUST BLAZE,JB Cloud Muffin,597,6,,units,,NOT PHOTOGRAPHED,Was 4 SOH on 30 Jan
JUST BLAZE,JB Sugar High,690,5,,units,,NOT PHOTOGRAPHED,Was 3 SOH on 30 Jan
JUST BLAZE,JB Blaze Royale,614,2,,units,,NOT PHOTOGRAPHED,Was 2 on 30 Jan
JUST BLAZE,JB Frosted Apricot,598,2,,units,,NOT PHOTOGRAPHED,Was 2 on 30 Jan
JUST BLAZE,JB Blue Dream,805,4,,units,,NOT PHOTOGRAPHED,Was 1 SOH on 30 Jan
JUST BLAZE,JB Darth Vader,674,1,,units,,NOT PHOTOGRAPHED,Was 1 on 30 Jan
JUST BLAZE,JB Jedi Diesel,968,1,,units,,NOT PHOTOGRAPHED,Was 1 on 30 Jan
JUST BLAZE,JB Banana Java,1,0,,units,,ZERO STOCK,Was 0 on 30 Jan
JUST BLAZE,JB Gelato,662,0,,units,,ZERO STOCK,Was 0 on 30 Jan
JUST BLAZE,JB Plat Gorilla,634,0,,units,,ZERO STOCK,Was 0 on 30 Jan
JUST BLAZE,JB Sherbit,24,0,,units,,ZERO STOCK,Was 0 on 30 Jan
JUST BLAZE,JB The Baddie,541,0,,units,,ZERO STOCK,Was 0 on 30 Jan
JUST BLAZE,JB Space Jam,234,1,,units,,ZERO STOCK,Was 0 SOH on 30 Jan
PRE-PACKS,Dynamic Threesome (3g),615,89,49,units,-40,SOLD,HIGH SELLER
PRE-PACKS,Super Cheese (5g) I.D,485,3,3,units,0,NO CHANGE,
PRE-PACKS,White Runtz (5g) G.D,659,4,4,units,0,NO CHANGE,
PRE-PACKS,Blueberry (5g) I.D,,,5,units,,NEW PRODUCT,Not in 30 Jan POS
PRE-PACKS,JMO (5g) I.D,238,3,2,units,-1,SOLD,
PRE-PACKS,Banana Cake (5g) I.D,612,3,3,units,0,NO CHANGE,
PRE-PACKS,Block Berry (5g) I.D,660,3,,units,,NOT COUNTED,MISSING
PRE-PACKS,Candy Dave (5g) I.D,164,4,4,units,0,NO CHANGE,
PRE-PACKS,The Church (5g) G.D,658,3,,units,,NOT COUNTED,MISSING
PRE-PACKS,Gelato (5g) G.D,657,0,,units,,NOT COUNTED,Was 0
EDIBLES,Dope Rope,912,7,3,units,-4,SOLD,
EDIBLES,Butterscotch Toffee / Toffees 150mg,99,10,6,units,-4,SOLD,
EDIBLES,Fab Fudge 150mg,102,7,4,units,-3,SOLD,
EDIBLES,Medibles / Medibles Pastilles,246,6,5,units,-1,SOLD,
EDIBLES,Synergy Medibles Waves,,,2,units,,NEW PRODUCT,
EDIBLES,Magic Mushroom,,,5,units,,NEW PRODUCT,
EDIBLES,Suckers / Lollipops,381,22,18,units,-4,SOLD,
EDIBLES,Singles / Medibles Singles,380,54,35,units,-19,SOLD,
EDIBLES,Bhang Bars / Bang Bar,489,2,2,units,0,NO CHANGE,
EDIBLES,Forbidden Fruit,595,12,,units,,NOT COUNTED,MISSING
EDIBLES,Rainbow Runtz (edible),490,5,,units,,NOT COUNTED,MISSING
LIFTED EDIBLES,Lifted Gummy Bears / Gummies bears 150mg,109,11,10,units,-1,SOLD,
LIFTED EDIBLES,Lifted OG Gummies 150mg,188,21,23,units,+2,RESTOCKED,
LIFTED EDIBLES,Lifted OG Gummies 330mg,92,13,,units,,NOT COUNTED,MISSING - different size
LIFTED EDIBLES,Lifted Wacky Worms / Wacky worms 300mg,110,12,7,units,-5,SOLD,
LIFTED EDIBLES,Lifted Buzz Pops 120mg,100,8,3,units,-5,SOLD,
LIFTED EDIBLES,Lifted Loaded Leaf 200mg,94,12,4,units,-8,SOLD,
LIFTED EDIBLES,Lifted Heart Stoppers 200mg,573,7,5,units,-2,SOLD,
LIFTED EDIBLES,Lifted Heart Stoppers 400mg,331,13,,units,,NOT COUNTED,MISSING - different size
LIFTED EDIBLES,Lifted Rainbow Stripz 200mg,97,12,7,units,-5,SOLD,
LIFTED EDIBLES,Lifted Red Vine Stripz 200mg,96,8,7,units,-1,SOLD,
LIFTED EDIBLES,Lifted Blaze Block 150mg,93,8,3,units,-5,SOLD,
LIFTED EDIBLES,Lifted Fruity CBD Gummies 250mg,349,4,4,units,0,NO CHANGE,
LIFTED EDIBLES,Lifted Fruity Pastilles 150mg,98,4,2,units,-2,SOLD,
LIFTED EDIBLES,Lifted Choc Chip Cookies 90mg,104,11,4,units,-7,SOLD,
LIFTED EDIBLES,Lifted Ashwaganda,150,5,,units,,NOT COUNTED,MISSING
LIFTED EDIBLES,Lifted ? (red/cream packs),,,11,units,,UNIDENTIFIED,Photo needs ID
LIFTED EDIBLES,Lifted ? (purple/blue display),,,9,units,,UNIDENTIFIED,Photo needs ID
