Category,Type,Product,Quantity,Unit,Notes
Indoor Flower,Loose,NFS,87,grams,
Indoor Flower,Loose,Gelato,95,grams,
Indoor Flower,Loose,Bakers,144,grams,
Indoor Flower,Loose,Pineapple Chunk,97,grams,
Indoor Flower,Loose,LA Candy,99,grams,
Indoor Flower,Loose,Rainbow Royal,21,grams,
Indoor Flower,Loose,Frozen Peach,86,grams,
Indoor Flower,Loose,Ice Cream Cake,75,grams,
Indoor Flower,Loose,Blackberry,114,grams,
Indoor Flower,Loose,Cereal Milk,72,grams,
Indoor Flower,Loose,Rainbow Sherbet,61,grams,
Indoor Flower,Loose,Ice Queen,85,grams,
Indoor Flower,Loose,Monster Zkittles,40,grams,
Indoor Flower,Loose,Blu Zuchi,74,grams,
Indoor Flower,Loose,Blu Rave,90,grams,
Indoor Flower,Loose,Face on Fire,54,grams,
Indoor Flower,Loose,Pitbull,40,grams,
Indoor Flower,Loose,King Truck,51,grams,
Greendoor Flower,Loose,Durban Sky,120,grams,
Greendoor Flower,Loose,Gorilla Zkittlez,71,grams,
Greendoor Flower,Loose,Super Cheese,216.09,grams,-3g tare
Greendoor Flower,Loose,Garry Peyton,123.98,grams,
Greendoor Flower,Loose,Beach Wedding,53.05,grams,
Greendoor Flower,Loose,Allien Cookies,153.38,grams,
Greendoor Flower,Loose,Jungle Diamond,157.93,grams,
Greendoor Flower,Loose,Diver Storm,90.89,grams,
Greendoor Flower,Loose,Cheese,91.63,grams,
Greendoor Flower,Loose,Black Cherry Punch,164.84,grams,
Indoor Flower,Pre-Roll,Watermelon Runtz Pre-Roll,3,units,
Indoor Flower,Pre-Roll,The Church Pre-Rolls,3,units,
Indoor Flower,Pre-Roll,Gold Leaf Pre-Roll,7,units,
Indoor Flower,Pre-Roll,Moon Stick (I.D),3,units,
Indoor Flower,Pre-Roll,Honey Moon Pre-Roll,21,units,
Indoor Flower,Pre-Roll,Honey-comb Pre-Roll,9,units,
Indoor Flower,Pre-Roll,Apple Jax Pre-Roll,2,units,
Indoor Flower,Pre-Roll,Premium Blend Pre-Roll,6,units,
Indoor Flower,Pre-Roll,MJ Pre-Rolls,172,units,
Greendoor Flower,Pre-Roll,Moon Stick (G.D),40,units,
Greendoor Flower,Pre-Roll,Gold Roll (G.D),50,units,
Greendoor Flower,Pre-Roll,Joynt Pre-Roll (G.D),10,units,
Indoor Flower,Pre-Pack,Dynamic Threesome (3g),49,units,
Indoor Flower,Pre-Pack,Super Cheese (5g) I.D,3,units,
Greendoor Flower,Pre-Pack,White Runtz (5g) G.D,4,units,
Indoor Flower,Pre-Pack,Blueberry (5g) I.D,5,units,
Indoor Flower,Pre-Pack,JMO (5g) I.D,2,units,
Edibles,,Synergy Medibles Waves,2,units,
Edibles,,Medibles Pastilles,5,units,
Edibles,,Magic Mushroom,5,units,
Edibles,,Dope Rope,3,units,
Edibles,,Butterscotch Toffee,6,units,
Edibles,,Fab Fudge 150mg,4,units,
CBD,,Hashisha,5,units,
CBD,,CBD Arouse,3,units,
CBD,,CBD Erect,1,units,
CBD,,CBD Bunny Men,4,units,
CBD,,CBD Super Bunny Woman,4,units,
CBD,,MJ Cream,5,units,
CBD,,Hairfood 250ml,4,units,
CBD,,Hairfood 125ml,7,units,
Drinks,,Coder Fruit Juice,4,units,
Drinks,,Sodaze,1,units,
Drinks,,Lucky Club Juice,0,units,
Drinks,,420 Magic,18,units,
Drinks,,Dope Watermelon,2,units,
Drinks,,Dope Pineapple,1,units,
Drinks,,Dope Grapefruit,5,units,
Dabs,,Bud-Crum Combo,6,units,
Dabs,,Budder,6,units,
Dabs,,Crumble,8,units,
Dabs,,Wax Dab,2,units,
Vapes,,Cartridge Plug,0,units,New product - no count yet
Other,,Cell Batteries,3,units,
Other,,Other Batteries,2,units,
